Cation_SMILES,Anion_SMILES,IL_SMILES,LOG10(MP)(K),MP(K),Molar mass(g/mol)
c1c[nH+]c[nH]1,O=S(=O)([O-])O,c1c[nH+]c[nH]1.O=S(=O)([O-])O,2.554,358.15,166.158
c1c[nH+]c[nH]1,CS(=O)(=O)[O-],c1c[nH+]c[nH]1.CS(=O)(=O)[O-],2.664,461.15,164.186
c1c[nH+]c[nH]1,O=S(=O)([O-])C(F)(F)F,c1c[nH+]c[nH]1.O=S(=O)([O-])C(F)(F)F,2.598,396.05,218.156
c1c[nH+]c[nH]1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,c1c[nH+]c[nH]1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.539,346.15,349.234
c1c[nH+]c[nH]1,F[B-](F)(F)F,c1c[nH+]c[nH]1.F[B-](F)(F)F,2.607,404.35,155.891
Cn1cc[nH+]c1,O=S(=O)([O-])O,Cn1cc[nH+]c1.O=S(=O)([O-])O,2.468,294.03,180.185
CCn1cc[nH+]c1,CS(=O)(=O)[O-],CCn1cc[nH+]c1.CS(=O)(=O)[O-],2.521,332.15,192.24
CCn1cc[nH+]c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.444,278.15,377.288
CCCn1cc[nH+]c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.448,280.64,391.315
C[NH3+],O=S(=O)([O-])O,C[NH3+].O=S(=O)([O-])O,2.54,346.35,129.137
C[NH3+],CS(=O)(=O)[O-],C[NH3+].CS(=O)(=O)[O-],2.561,364.15,127.165
C[NH3+],O=C([O-])C(F)(F)F,C[NH3+].O=C([O-])C(F)(F)F,2.524,334.15,145.08
C[NH3+],F[B-](F)(F)F,C[NH3+].F[B-](F)(F)F,2.544,350.25,118.87
C[NH3+],O=[N+]([O-])[O-],C[NH3+].O=[N+]([O-])[O-],2.585,384.15,94.07
C[NH3+],O=P([O-])(O)O,C[NH3+].O=P([O-])(O)O,2.568,369.95,129.052
C[NH3+],[Br-],C[NH3+].[Br-],2.708,510.15,111.97
CC[NH3+],CS(=O)(=O)[O-],CC[NH3+].CS(=O)(=O)[O-],2.586,385.65,141.192
CC[NH3+],O=S(=O)([O-])C(F)(F)F,CC[NH3+].O=S(=O)([O-])C(F)(F)F,2.649,446.15,195.162
CC[NH3+],O=C([O-])C(F)(F)F,CC[NH3+].O=C([O-])C(F)(F)F,2.52,331.15,159.107
CC[NH3+],F[B-](F)(F)F,CC[NH3+].F[B-](F)(F)F,2.629,425.55,132.897
CC[NH3+],O=P([O-])(O)O,CC[NH3+].O=P([O-])(O)O,2.61,407.15,143.079
CC[NH3+],[Cl-],CC[NH3+].[Cl-],2.582,382.15,81.546
CCC[NH3+],O=S(=O)([O-])O,CCC[NH3+].O=S(=O)([O-])O,2.487,307.05,157.191
CCC[NH3+],O=S(=O)([O-])C(F)(F)F,CCC[NH3+].O=S(=O)([O-])C(F)(F)F,2.652,449.15,209.189
