Cation_SMILES,Anion_SMILES,IL_SMILES,logEC50,Molar mass(g/mol)
CCCC[N+](C)(C)CC,[Cl-],CCCC[N+](C)(C)CC.[Cl-],4.6,165.708
OCC[NH+](CCO)CCO,CCCC(=O)[O-],OCC[NH+](CCO)CCO.CCCC(=O)[O-],3.39,237.296
CCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F,CCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,3.92,256.13
CCCCCCCC[N+]1(C)CCCC1,F[B-](F)(F)F,CCCCCCCC[N+]1(C)CCCC1.F[B-](F)(F)F,1.82,285.178
COCCn1cc[n+](C)c1,[Cl-],COCCn1cc[n+](C)c1.[Cl-],4.6,176.647
CCn1cc[n+](C)c1,O=C([O-])C(F)(F)F,CCn1cc[n+](C)c1.O=C([O-])C(F)(F)F,4.004,224.182
COCC[N+]1(C)CCCC1,[Cl-],COCC[N+]1(C)CCCC1.[Cl-],4.6,179.691
CCCC[n+]1ccccc1C,[Cl-],CCCC[n+]1ccccc1C.[Cl-],3.75,185.698
CCCCn1cc[n+](CC)c1,O=C([O-])C(F)(F)F,CCCCn1cc[n+](CC)c1.O=C([O-])C(F)(F)F,3.31,266.263
CCCCn1cc[n+](C)c1,O=S(=O)([O-])O,CCCCn1cc[n+](C)c1.O=S(=O)([O-])O,3.288,236.293
C[N+]1(C#N)CCOCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[N+]1(C#N)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.53,407.314
Cc1ccc(Cn2cc[n+](C)c2)cc1,F[P-](F)(F)(F)(F)F,Cc1ccc(Cn2cc[n+](C)c2)cc1.F[P-](F)(F)(F)(F)F,2.664,332.228
CCCCCCCC[n+]1cccc2ccccc21,F[B-](F)(F)F,CCCCCCCC[n+]1cccc2ccccc21.F[B-](F)(F)F,2.17,329.19
CCOC[N+]1(C)CCCC1,[Cl-],CCOC[N+]1(C)CCCC1.[Cl-],3.05,179.691
CCCC[n+]1ccccc1,COS(=O)(=O)[O-],CCCC[n+]1ccccc1.COS(=O)(=O)[O-],3.92,247.316
CCOCC[N+]1(C)CCOCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCOCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.69,454.411
CCCOC[n+]1cccc(O)c1,O=C1[N-]S(=O)(=O)c2ccccc21,CCCOC[n+]1cccc(O)c1.O=C1[N-]S(=O)(=O)c2ccccc21,3.6,350.396
CCCC[N+]1(C)CCCCC1,[Br-],CCCC[N+]1(C)CCCCC1.[Br-],4.03,236.197
CCCCn1cc[n+](C)c1,O=S(=O)([O-])C(F)(F)F,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,3,288.291
OCC[NH2+]CCO,CCCCC(=O)[O-],OCC[NH2+]CCO.CCCCC(=O)[O-],3.72,207.27
