Cation_SMILES,Anion_SMILES,IL_SMILES,Temperature(K),Pressure(bar),Xco2(mole fraction),Molar mass(g/mol)
CCCC[n+]1ccn(C)c1,CS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],332.95,98,0.397,234.321
CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,318,39.96,0.331,284.184
CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,298.15,2.6,0.063,284.184
OCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,OCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.15,33.12,0.395,404.31
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.65,94.2,0.725,764.017
CCn1cc[n+](C)c1,N#C[N-]C#N,CCn1cc[n+](C)c1.N#C[N-]C#N,313.2,41.8,0.184,177.211
CCC(O)[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCC(O)[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.15,15.93,0.212,421.341
CCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F,CCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,347.84,17.8,0.104,256.13
CCCC[n+]1ccn(C)c1,CS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],323.65,40.5,0.248,234.321
CCCC[N+](C)(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,333.23,80.9,0.684,396.375
