Cation_SMILES,Anion_SMILES,IL_SMILES,MP(K),LOG10(MP)(K),Molar mass(g/mol)
c1c[nH+]c[nH]1,O=S(=O)([O-])O,c1c[nH+]c[nH]1.O=S(=O)([O-])O,358.15,2.554,166.158
c1c[nH+]c[nH]1,CS(=O)(=O)[O-],c1c[nH+]c[nH]1.CS(=O)(=O)[O-],461.15,2.664,164.186
c1c[nH+]c[nH]1,O=S(=O)([O-])C(F)(F)F,c1c[nH+]c[nH]1.O=S(=O)([O-])C(F)(F)F,396.05,2.598,218.156
c1c[nH+]c[nH]1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,c1c[nH+]c[nH]1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,346.15,2.539,349.234
c1c[nH+]c[nH]1,F[B-](F)(F)F,c1c[nH+]c[nH]1.F[B-](F)(F)F,404.35,2.607,155.891
Cn1cc[nH+]c1,O=S(=O)([O-])O,Cn1cc[nH+]c1.O=S(=O)([O-])O,294.03,2.468,180.185
CCn1cc[nH+]c1,CS(=O)(=O)[O-],CCn1cc[nH+]c1.CS(=O)(=O)[O-],332.15,2.521,192.24
CCn1cc[nH+]c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,278.15,2.444,377.288
CCCn1cc[nH+]c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,280.64,2.448,391.315
C[NH3+],O=S(=O)([O-])O,C[NH3+].O=S(=O)([O-])O,346.35,2.54,129.137
C[NH3+],CS(=O)(=O)[O-],C[NH3+].CS(=O)(=O)[O-],364.15,2.561,127.165
C[NH3+],O=C([O-])C(F)(F)F,C[NH3+].O=C([O-])C(F)(F)F,334.15,2.524,145.08
C[NH3+],F[B-](F)(F)F,C[NH3+].F[B-](F)(F)F,350.25,2.544,118.87
C[NH3+],O=[N+]([O-])[O-],C[NH3+].O=[N+]([O-])[O-],384.15,2.585,94.07
C[NH3+],O=P([O-])(O)O,C[NH3+].O=P([O-])(O)O,369.95,2.568,129.052
C[NH3+],[Br-],C[NH3+].[Br-],510.15,2.708,111.97
