Anion_ID,Anion_SMILES,Anion_PubChemID
A0324,CCCCCCCCCCCCCCCCCC(=O)[O-],3033836
A0421,CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,4378467
A0160,CCCCCCCCCCCCCCCC(=O)[O-],504166
A0187,CCCCCCCCCCCCc1ccccc1S(=O)(=O)[O-],14849467
A0270,O=S(=O)([O-])c1ccccc1,91526
A0030,Cc1ccc(S(=O)(=O)[O-])cc1,85570
A0355,CCCCCCCCCCCC(=O)[O-],4149208
A0175,Cc1ccccc1S(=O)(=O)[O-],3424274
A0124,CCCCCCCCCC(=O)[O-],4678093
A0284,COC(=O)c1ccc(S(=O)(=O)[O-])cc1C(=O)OC,154388456
A0271,CCCCCCCCCCCCOS(=O)(=O)[O-],4329331
A0250,[O-]c1ccc2ccccc2c1,12168163
A0220,CCCCCCCCC(=O)[O-],5461016
A0372,CCCCCCCCCCOS(=O)(=O)[O-],5003059
A0436,Nc1ccc(S(=O)(=O)[O-])cc1,3335443
A0159,CCCCCCCC(=O)[O-],119389
A0114,CCCCCCCCOS(=O)(=O)[O-],5121662
A0309,O=C([O-])CCCCCC(=O)O,5459958
A0154,COc1ccc([O-])cc1,12777543
A0221,CCCCCCC(=O)[O-],93052
A0247,COc1cccc([O-])c1,22992951
A0090,O=[N+]([O-])[O-],943
A0312,N[C@@H](CCc1ccccc1)C(=O)[O-],18647273
A0278,CCCCCCOS(=O)(=O)[O-],3968640
A0242,Cc1ccccc1[O-],12481598
A0246,CC(C)(C)c1ccc([O-])cc1,13031198
A0361,COCCOCCOCCOCC(=O)[O-],19099703
A0379,O=S(=O)([O-])c1ccccc1I,4351690
A0158,CCCCCC(=O)[O-],4398339
A0238,[O-]c1ccccc1Cl,13031201
A0138,O=C([O-])C1CCCC1,6950226
A0236,[O-]c1ccc(C(F)(F)F)cc1,22463448
A0208,[O-]c1ccccc1F,18005969
A0275,COCCOCCOCC(=O)[O-],22450629
A0152,[O-]c1ccccc1,119047
A0153,Cc1ccc([O-])cc1,11297941
A0241,Cc1cccc([O-])c1,14175588
A0077,CCCCCOS(=O)(=O)[O-],6365119
A0235,[O-]c1ccc(Cl)cc1,11263505
A0204,O=[N+]([O-])c1ccc([O-])cc1,644235
A0155,[O-]c1ccc(F)cc1,14529993
A0161,CC(C)(C)C(=O)[O-],6919101
A0248,CN(C)c1cccc([O-])c1,22992976
A0054,CS(=O)(=O)[O-],85257
A0237,[O-]c1cccc(Cl)c1,12777549
A0424,CCOCCOCCOS(=O)(=O)[O-],102480893
A0209,[O-]c1cccc(F)c1,22992984
A0112,COCCOCCOS(=O)(=O)[O-],4124971
A0265,O=[N+]([O-])c1cc([N+](=O)[O-])c([O-])c([N+](=O)[O-])c1,4432340
A0096,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3736298
A0213,[O-]C(c1ccccc1)C(F)(F)F,101679856
A0447,O=C([O-])CCC(=O)O,3693574
A0188,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4986139
A0274,COCCOCC(=O)[O-],6994759
A0092,CCCCOP(=O)([O-])OCCCC,3790919
A0003,O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,4306513
A0194,CC(C)C(=O)[O-],165337
A0359,CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-],20789150
A0087,CC(=O)[O-],175
A0107,O=C([O-])C(=O)O,3716971
A0207,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,16760155
A0338,CCN(CC)C(=O)[O-],3757586
A0050,CCCCOS(=O)(=O)[O-],4437320
A0354,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4086645
A0084,O=S(=O)([O-])C(F)(F)F,2758875
A0017,O=S(=O)([O-])O,61778
A0339,CC(C)N(C(=O)[O-])C(C)C,22731190
A0093,NS(=O)(=O)[O-],177700
A0070,O=C([O-])O,769
A0231,CCCCC(=O)[O-],114781
A0105,CCCCS(=O)(=O)[O-],3704751
A0422,CCOCCOS(=O)(=O)[O-],23115691
A0353,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,22182348
A0064,O=C([O-])C(F)(F)F,84468
A0350,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5111819
A0079,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3741048
A0416,COCCOS(=O)(=O)[O-],20658652
A0103,CCS(=O)(=O)[O-],3717105
A0195,CC(=O)CCC(=O)[O-],5177120
A0191,O=C([O-])CNCC(=O)O,3614581
A0186,O=C([O-])C(F)(F)C(F)(F)C(F)(F)F,4342798
A0201,NC(=O)CCC(=O)[O-],6994786
A0086,O=S(=O)([O-])OCCCC(F)(F)C(F)(F)F,101392773
A0413,CCCCC(CC)CCC(=O)[O-],21614604
A0272,O=S(=O)([O-])F,3413884
A0317,[O-]c1cccnc1,14387722
A0276,CCOCC(=O)[O-],6997522
A0028,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,58814449
A0199,CCC(=O)[O-],104745
A0255,N[C@@H](CCC(=O)O)C(=O)[O-],14598502
A0370,NC(CCC(=O)O)C(=O)[O-],4179667
A0352,O=C([O-])C(F)(F)C(F)(F)F,3858030
A0104,CCCS(=O)(=O)[O-],4431756
A0269,O=C([O-])CC(=O)O,3748644
A0311,CCCC[C@H](N)C(=O)[O-],6857453
A0037,CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F,3443712
A0044,COS(=O)(=O)[O-],4694097
A0157,CCCC(=O)[O-],104775
A0080,O=S(=O)([O-])OCC(F)(F)F,101392774
A0290,NC(=O)CC[C@H](N)C(=O)[O-],5460871
A0142,NCCCC[C@H](N)C(=O)[O-],5460928
A0222,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,14294496
A0210,[O-]CC(F)(F)F,14471936
A0118,FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,14294493
A0357,[NH-]S(=O)(=O)C(F)(F)F,18339154
A0289,CC(C)CC(N)C(=O)[O-],5460895
A0425,CC(C)C[C@@H](N)C(=O)[O-],5460898
A0273,COCC(=O)[O-],161333
A0091,CCOP(=O)([O-])OCC,5166299
A0163,CC([O-])=S,3815167
A0217,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,23524874
A0007,O=C1[N-]S(=O)(=O)c2ccccc21,3665684
A0067,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,4067273
A0083,CCOS(=O)(=O)[O-],3804841
A0120,O=C([O-])CO,5460308
A0251,N=C(N)NCCC[C@H](N)C(=O)[O-],5460861
