Cation_ID,Cation_SMILES,Cation_PubChemID
C2024,CCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)C,157847
C2023,CCCCCCCCCCCCCCCCCC[N+](C)(C)C,8156
C0005,CCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCC,24953
C0286,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC,71338507
C0775,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC,13008320
C0819,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCC,20030444
C0944,C[N+](C)(C)CCCCc1ccccc1,43506
C0186,C[N+](C)(C)CCCCCc1ccccc1,43921
C2022,CCCCCCCCCCCCCCCC[N+](C)(C)C,2681
C1707,C[N+](C)(C)CCOC(=O)c1ccccc1,16632
C0806,c1ccc(C[n+]2ccccc2)cc1,76136
C0008,CCCCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCCCC,11707758
C0514,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,16958
C1093,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,2734118
C2106,CCCCCCCCCCCCCC[N+](C)(C)C,14251
C0512,CCCCCCCCCCCC[N+](C)(CCCCCCCCCCCC)CCCCCCCCCCCC,81602
C0034,CCCCCCCCCCCCCC[N+](CCCCC)(CCCCC)CCCCC,86167186
C0565,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC,77072
C0807,c1ccc(OCC[n+]2ccccc2)cc1,6452150
C0933,CCCCCCCCCCCCCCCC[N+](C)(C)CCCC,20289021
C2038,CCCCCCC[N+](CCCCCC)(CCCCCC)CCCCCCC,53436408
C0979,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,21219
C2039,CCCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,53431296
C0256,Fc1ccc(C[n+]2ccccc2)cc1,816720
C0234,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,75057
C2064,CCCCCCCCCCCC[N+](C)(C)C,8153
C0279,CCCCCCCCCCCCCCCCCC[n+]1ccccc1,76629
C0846,Cc1ccc[n+](Cc2ccccc2)c1,85334
C0946,Cc1cc[n+](CCc2ccccc2)cc1,411756
C1142,CCCCCCCCCCCCCCCCCC[N+](CC)(CC)CC,199322
C0880,CCCCCCCCCCCCCCCC[N+](C)(CCCC)CCCC,44612813
C0428,CCCCCCCCCCCCCCCC[n+]1ccccc1,2683
C1035,CCCCCCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,21470280
C2063,CCCCCCCCCC[N+](CC)(CC)CCCCCCCCCC,4398051
C0559,CCCCCCCCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,57466201
C1446,CCCCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,23086969
C1507,CCCCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,57027342
C0841,c1ccc(Cn2cc[n+](Cc3ccccc3)c2)cc1,11695594
C0832,CCCCC[N+](CCCCC)(CCCCC)CCCCC,17249
C1804,CCCCCCCCCC[N+](C)(C)C,16389
C1506,CCCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,87777582
C0020,CCCCCCCC[N+](CCC)(CCCCCCCC)CCCCCCCC,90450
C0831,CCCCCCCCCCCC[N+](C)(C)CCCC,407819
C1119,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,11181837
C1505,CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,2785208
C1618,CCCCCCCCCCCCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,18690400
C0358,CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,2330
C0362,CCCCCCCCCCC[n+]1ccccc1,152991
C0527,CCCCCCCCCCCC[n+]1ccccc1,7718
C0535,CCCCCCCCCC[n+]1ccccc1,74160
C0906,CCCCCCCCCCCCC[n+]1ccccc1,10220896
C1504,CCCCCCCC[P+](CCCCCCC)(CCCCCCCC)CCCCCCCC,87776852
C1131,CCCCCCCCC[N+](C)(C)C,37620
C0209,CCCCCCCCCCCCCC[n+]1ccccc1,17736
C0850,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,8756
C1432,CCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,23086987
C1503,CCCCCCCC[P+](CCCCCC)(CCCCCCCC)CCCCCCCC,22750521
C1315,CCCCCCCC[n+]1ccccc1,75675
C1502,CCCCCCCC[P+](CCCCC)(CCCCCCCC)CCCCCCCC,21314328
C0825,CCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,3014946
C1238,CN(C)C(=O)c1ccc[n+](Cc2ccccc2)c1,67542532
C0973,CCCCCCCC[N+](C)(C)C,24950
C1555,CCCCCCC[n+]1ccccc1,12093589
C1423,CCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,18433457
C2095,CCCCCCCC[n+]1cccc2ccccc21,2308921
C1871,CCCCCCCCCCCCCC[N+](CC)(CC)CC,28911
C2081,CCCCCCCCCCCCc1cc[n+](C)cc1,15575952
C1606,CCCCCCCC[n+]1ccc2ccccc2c1,413520
C2272,CCCCCCCCCC[n+]1ccc2ccccc2c1,53932873
C1604,CCCCCC[n+]1cccc2ccccc21,2308919
C0222,CCCCCCCCCCCCCCCCCC[n+]1ccc(C)cc1,413357
C0990,CCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,159629
C1757,CCCCCC[n+]1ccc2ccccc2c1,413360
C0853,CCCCCCCCCCCC[n+]1ccc(C)cc1,407370
C0710,CCCCCC[n+]1ccccc1,2734173
C0663,CCCCCCCCCCCC[n+]1ccc2ccccc2c1,7133
C0676,CCCCCCCCCCCCCC[n+]1ccc(C)cc1,17672
C0185,CCC[N+](C)(C)Cc1ccccc1,18921208
C1209,CCCCCCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC,6333126
C0526,CCCCCCC[N+](C)(C)C,30142
C0703,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCO,3607463
C2174,CCCCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,2724570
C0737,C[N+](C)(C)CCCCCCCCCCOc1ccc(C=O)cc1,12040125
C1475,CCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,86043016
C0800,CCCCCCCCCCCC[N+](C)(C)Cc1ccc(C(=O)c2ccccc2)cc1,71402012
C1297,CCCCCCCC[n+]1ccc(C)cc1,11449028
C0620,CCCCCCCCCCCCCCCC[n+]1ccc(C)cc1,75339
C0129,COCC[N+](C)(C)Cc1ccccc1,153361909
C2273,CCCCCCCCCCCCCC[n+]1ccc2ccccc2c1,53737788
C1501,CCCCCCCC[P+](CCCC)(CCCCCCCC)CCCCCCCC,21328166
C0462,Cc1n(Cc2ccccc2)cc[n+]1CC(=O)c1ccccc1,12277638
C0996,CCCCCCCCCCCC[n+]1ccc(CC)cc1,10086828
C0638,CCCCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC,84717
C1109,CCCCCCCCCCCC[n+]1cccc(C)c1,416429
C1324,CCCCC[n+]1ccccc1,410720
C1445,CCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,86043177
C0721,CCCCCCCCCCCCCC[n+]1cccc(C)c1,21189125
C2348,CCCC[n+]1cccc2ccccc21,412683
C2068,CCCCCCCCCC[n+]1cccc(C)c1,44298487
C0849,CCCCCCCCCCCC[n+]1ccc(CCC)cc1,69390619
C0772,C[N+](C)(CCCO)Cc1ccccc1,414618
C2042,CCCC[n+]1ccc2ccccc2c1,413519
C0615,CCCCCCCC[n+]1ccc(CC)cc1,19069814
C0621,CCCCCCCCCCCCCC[n+]1ccc(CCCCCC)cc1,69398203
C2190,CC[n+]1ccccc1-c1ccccc1,20603121
C0524,CCCCCCCC[n+]1ccc(CCC)cc1,18377811
C0294,C[N+](C)(CCO)Cc1ccccc1,25772
C0538,CCCCCCCCCC[n+]1cccc(CCCCC)c1,69395985
C2274,CCCCCCCCCCCCCCCC[n+]1ccc2ccccc2c1,413358
C0701,CCCCCCCCCCCCCCCC[n+]1cccc(C)c1,75337
C2076,CCCCCCCCC[n+]1cccc(C)c1,44298506
C0135,CCCC[n+]1ccc(C(=O)OCC)cc1,85695516
C1115,CCCCCCCCCCCC[N+](CC)(CC)CC,28940
C1576,CCCCCCCC[N+](CCCC)(CCCC)CCCC,408233
C1228,CCCCCC[n+]1ccc(-c2ccncc2)cc1,58050946
C0709,CCCCCC[N+](C)(C)C,84774
C0332,CCCCCC[N+](C)(C)CCCCCC,158284
C1284,CCCCCC[n+]1ccc(C)cc1,11995186
